PASSENGERS,UNIQUE_CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,MONTH
0,Northern Air Cargo Inc.,DLG,"Dillingham, AK",AKN,"King Salmon, AK",1
,,,,,,
0,Northern Air Cargo Inc.,DLG,"Dillingham, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Northern Air Cargo Inc.,DLG,"Dillingham, AK",ILI,"Iliamna, AK",1
,,,,,,
0,Northern Air Cargo Inc.,ELP,"El Paso, TX",LEX,"Lexington, KY",1
,,,,,,
0,Northern Air Cargo Inc.,ILI,"Iliamna, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Northern Air Cargo Inc.,KSM,"St. Mary's, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Northern Air Cargo Inc.,LEX,"Lexington, KY",LRD,"Laredo, TX",1
,,,,,,
0,Northern Air Cargo Inc.,LRD,"Laredo, TX",ELP,"El Paso, TX",1
,,,,,,
0,Northern Air Cargo Inc.,LRD,"Laredo, TX",SDF,"Louisville, KY",1
,,,,,,
0,Northern Air Cargo Inc.,MCG,"McGrath, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Northern Air Cargo Inc.,OME,"Nome, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Northern Air Cargo Inc.,OME,"Nome, AK",OTZ,"Kotzebue, AK",1
,,,,,,
0,Northern Air Cargo Inc.,OTZ,"Kotzebue, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Northern Air Cargo Inc.,OTZ,"Kotzebue, AK",OME,"Nome, AK",1
,,,,,,
0,Northern Air Cargo Inc.,RDB,"Red Dog, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Northern Air Cargo Inc.,SCC,"Deadhorse, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Northern Air Cargo Inc.,SCC,"Deadhorse, AK",BRW,"Barrow, AK",1
,,,,,,
0,Northern Air Cargo Inc.,SDF,"Louisville, KY",LRD,"Laredo, TX",1
,,,,,,
0,Northern Air Cargo Inc.,UNK,"Unalakleet, AK",ANC,"Anchorage, AK",1
,,,,,,
0,Northern Air Cargo Inc.,UNK,"Unalakleet, AK",FAI,"Fairbanks, AK",1
,,,,,,
